train_set,embedding,algorithm,threshold,f-1,app_pairs
android,fast,atm,0.67,0.11764705882352941,Expense1-Expense2
android,fast,craftdroid,0.69,0.15384615384615385,Expense1-Expense2
android,fast,custom,0.77,0.16666666666666666,Expense1-Expense2
android,glove,atm,0.58,0.14285714285714285,Expense1-Expense2
android,glove,craftdroid,0.5,0.15384615384615385,Expense1-Expense2
android,glove,custom,0.53,0.15384615384615385,Expense1-Expense2
android,w2v,atm,0.56,0.11764705882352941,Expense1-Expense2
android,w2v,craftdroid,0.72,0.15384615384615385,Expense1-Expense2
android,w2v,custom,0.75,0.16666666666666666,Expense1-Expense2
android,wm,atm,0.24,0.14285714285714285,Expense1-Expense2
android,wm,craftdroid,0.23,0.14285714285714285,Expense1-Expense2
android,wm,custom,0.24,0.14285714285714285,Expense1-Expense2
blogs,fast,atm,0.57,0.11764705882352941,Expense1-Expense2
blogs,fast,craftdroid,0.68,0.14835164835164835,Expense1-Expense2
blogs,fast,custom,0.73,0.18181818181818182,Expense1-Expense2
blogs,glove,atm,0.81,0.13333333333333333,Expense1-Expense2
blogs,glove,craftdroid,0.6,0.14835164835164835,Expense1-Expense2
blogs,glove,custom,0.58,0.15384615384615385,Expense1-Expense2
blogs,w2v,atm,0.54,0.11764705882352941,Expense1-Expense2
blogs,w2v,craftdroid,0.72,0.15384615384615385,Expense1-Expense2
blogs,w2v,custom,0.74,0.16666666666666666,Expense1-Expense2
blogs,wm,atm,0.31,0.16666666666666666,Expense1-Expense2
blogs,wm,craftdroid,0.24,0.14285714285714285,Expense1-Expense2
blogs,wm,custom,0.27,0.15384615384615385,Expense1-Expense2
empty,edit,atm,0.6,0.14285714285714285,Expense1-Expense2
empty,edit,craftdroid,0.44,0.16666666666666666,Expense1-Expense2
empty,edit,custom,0.45,0.18181818181818182,Expense1-Expense2
empty,jaccard,atm,0.18,0.18181818181818182,Expense1-Expense2
empty,jaccard,craftdroid,0.15,0.14285714285714285,Expense1-Expense2
empty,jaccard,custom,0.15,0.18181818181818182,Expense1-Expense2
googleplay,fast,atm,0.97,0.125,Expense1-Expense2
googleplay,fast,craftdroid,0.7,0.18181818181818182,Expense1-Expense2
googleplay,fast,custom,0.7,0.18181818181818182,Expense1-Expense2
googleplay,glove,atm,0.9,0.13333333333333333,Expense1-Expense2
googleplay,glove,craftdroid,0.68,0.16666666666666666,Expense1-Expense2
googleplay,glove,custom,0.54,0.14285714285714285,Expense1-Expense2
googleplay,w2v,atm,0.96,0.125,Expense1-Expense2
googleplay,w2v,craftdroid,0.69,0.2,Expense1-Expense2
googleplay,w2v,custom,0.68,0.18181818181818182,Expense1-Expense2
googleplay,wm,atm,0.23,0.14285714285714285,Expense1-Expense2
googleplay,wm,craftdroid,0.21,0.14285714285714285,Expense1-Expense2
googleplay,wm,custom,0.28,0.16666666666666666,Expense1-Expense2
standard,bert,atm,0.73,0.16666666666666666,Expense1-Expense2
standard,bert,craftdroid,0.72,0.16666666666666666,Expense1-Expense2
standard,bert,custom,0.72,0.13333333333333333,Expense1-Expense2
standard,fast,atm,0.58,0.14285714285714285,Expense1-Expense2
standard,fast,craftdroid,0.42,0.14835164835164835,Expense1-Expense2
standard,fast,custom,0.47,0.18181818181818182,Expense1-Expense2
standard,glove,atm,0.71,0.13333333333333333,Expense1-Expense2
standard,glove,craftdroid,0.44,0.14285714285714285,Expense1-Expense2
standard,glove,custom,0.6,0.15384615384615385,Expense1-Expense2
